genotype	HEADER_SHAPES	area	hull-area	solidity	perimeter	width	height	longest_axis	center-of-mass-x	center-of-mass-y	hull_vertices	in_bounds	ellipse_center_x	ellipse_center_y	ellipse_major_axis	ellipse_minor_axis	ellipse_angle	ellipse_eccentricity	marker_area
Cq0001.00	SHAPES_DATA	2784.0	2778.5	1.00197948533	205.823374748	60	60	51	1047.65768678	2927.98096264	24	True	1047.63305664	2927.99291992	62.6571388245	55.0038375854	49.9650535583	0.47892782379	126885.0
Cq0001.00	SHAPES_DATA	3383.0	3376.5	1.00192507034	222.994947672	66	65	50	1371.56192728	2895.00532072	27	True	1371.5592041	2895.015625	65.5960769653	64.0110778809	48.1145858765	0.218499843176	126885.0
Cq0001.00	SHAPES_DATA	2059.0	2039.5	1.00956116695	172.85281229	50	53	48	1802.17484216	2873.36182613	28	True	1802.12890625	2873.35717773	51.4493522644	49.4654159546	151.95111084	0.275018123847	126885.0
Cq0001.00	SHAPES_DATA	2910.0	2914.0	0.998627316404	207.580734134	61	64	47	2743.56082474	2876.38900344	29	True	2743.5390625	2876.36303711	60.9951438904	59.2139968872	17.799369812	0.239896199914	126885.0
Cq0001.00	SHAPES_DATA	3064.0	3092.0	0.990944372574	216.651801825	63	63	53	2529.79112272	2872.59791123	30	True	2529.80541992	2872.60351562	62.5283622742	60.8022117615	140.936721802	0.233344545375	126885.0
Cq0001.00	SHAPES_DATA	3357.0	3352.0	1.00149164678	225.96551013	67	66	63	2637.52993744	2866.85165326	28	True	2637.57421875	2866.83300781	65.3909454346	63.6680870056	38.5434112549	0.228034932796	126885.0
Cq0001.00	SHAPES_DATA	3213.0	3211.0	1.00062285892	219.137083054	68	63	54	1737.59726113	2810.27233115	28	True	1737.55395508	2810.25878906	64.2279205322	62.3467445374	78.318572998	0.240250470129	126885.0
Cq0001.00	SHAPES_DATA	2960.0	2965.5	0.998145338054	211.338093519	62	62	55	3204.3847973	2761.83581081	33	True	3204.33520508	2761.84863281	61.4331245422	59.7962532043	144.816833496	0.229302402789	126885.0
Cq0001.00	SHAPES_DATA	3055.0	3033.5	1.00708752266	212.651801825	64	61	62	3039.89623568	2759.24026187	29	True	3039.90258789	2759.23803711	63.0897636414	59.8926239014	72.3437042236	0.31429926762	126885.0
Cq0001.00	SHAPES_DATA	2505.0	2495.5	1.00380685233	191.338093519	56	58	44	1337.63433134	2757.28303393	22	True	1337.64685059	2757.28442383	57.8465118408	53.5066680908	23.8442134857	0.380024138091	126885.0
Cq0001.00	SHAPES_DATA	3144.0	3126.5	1.00559731329	214.651801825	61	66	55	2141.99109415	2684.97137405	25	True	2142.01708984	2684.96411133	63.8442726135	61.0850601196	11.6678371429	0.290805650452	126885.0
Cq0001.00	SHAPES_DATA	2861.0	2857.5	1.00122484689	210.651801825	62	60	61	2815.47361063	2672.21216358	30	True	2815.51538086	2672.24121094	60.5226135254	58.6084480286	57.4359664917	0.249508056865	126885.0
Cq0001.00	SHAPES_DATA	2860.0	2872.5	0.995648389904	210.308655977	62	63	59	2627.97657343	2663.26363636	30	True	2627.99560547	2663.2956543	62.2697486877	57.0970230103	147.737442017	0.399047261618	126885.0
Cq0001.00	SHAPES_DATA	3166.0	3166.0	1.0	216.308655977	63	65	54	1085.69204043	2658.75931775	29	True	1085.69714355	2658.73193359	64.6330871582	60.8250846863	12.4944620132	0.338176315413	126885.0
Cq0001.00	SHAPES_DATA	2553.0	2553.0	1.0	198.166520596	60	56	51	1453.80493537	2653.65217391	26	True	1453.7355957	2653.66894531	57.9049186707	54.7373161316	97.2963027954	0.326212436733	126885.0
Cq0001.00	SHAPES_DATA	3270.0	3261.5	1.00260616281	217.237588286	65	65	64	3080.0969419	2648.98287462	27	True	3080.12719727	2649.0090332	64.9021606445	62.4799194336	158.541290283	0.270647305379	126885.0
Cq0001.00	SHAPES_DATA	3079.0	3072.0	1.00227864583	213.923879981	64	61	51	860.210782722	2631.97694057	27	True	860.18347168	2631.95727539	63.5604286194	60.0954399109	74.0363311768	0.325665280699	126885.0
Cq0001.00	SHAPES_DATA	2214.0	2193.0	1.00957592339	178.024385214	52	53	41	1816.64046974	2613.55284553	27	True	1816.6451416	2613.56005859	53.078578949	51.418346405	11.9501276016	0.248151514616	126885.0
